PWSID,PWSNAME,STATE,COUNTYSERVED,VIOID,CCODE,CNAME,CTYPE,VCODE,VNAME,VTYPE,VIOLMEASURE,ENFACTIONTYPE,ENFACTIONNAME,ENFDATE,COMPPERBEGINDATE,COMPPERENDDATE,SOURCES,DEFINITION,HEALTH_EFFECTS
IL0810050,BELLE RIVE,IL,JEFFERSON,2003388,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIF,St Public Notif received,27-JUN-13,01-AUG-12,31-AUG-12,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810050,BELLE RIVE,IL,JEFFERSON,2003386,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,16-FEB-11,01-JAN-11,31-JAN-11,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810050,BELLE RIVE,IL,JEFFERSON,2003382,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIE,St Public Notif requested,18-FEB-09,01-JAN-09,31-JAN-09,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810050,BELLE RIVE,IL,JEFFERSON,2003390,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,15-OCT-13,01-JUL-13,30-SEP-13,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
IL0810050,BELLE RIVE,IL,JEFFERSON,2003382,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIF,St Public Notif received,02-MAR-09,01-JAN-09,31-JAN-09,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810050,BELLE RIVE,IL,JEFFERSON,2003384,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SOX,St Compliance achieved,01-JUL-10,01-DEC-09,31-DEC-09,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810050,BELLE RIVE,IL,JEFFERSON,2003382,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIA,St Violation/Reminder Notice,18-FEB-09,01-JAN-09,31-JAN-09,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810050,BELLE RIVE,IL,JEFFERSON,2003384,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SIF,St Public Notif received,18-JUN-10,01-DEC-09,31-DEC-09,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810050,BELLE RIVE,IL,JEFFERSON,2003382,3100,Coliform (TCR),TCR,24,Monitoring Routine Minor (TCR),MR,Monitoring and Reporting,SOX,St Compliance achieved,01-AUG-09,01-JAN-09,31-JAN-09,Coliforms are naturally present in the environment; as well as feces; fecal coliforms and E. coli only come from human and animal fecal waste.,Coliforms are bacteria that are naturally present in the environment and used as an indicator that other potentially harmful bacteria may be present. Coliforms found in more samples than allowed is a warning of potential problems.,Not a health threat in itself; it is used to indicate whether other potentially harmful bacteria may be present5
IL0810050,BELLE RIVE,IL,JEFFERSON,2003385,1006,Chloramine,St1 DBP,27,Monitoring and Reporting (DBP),MR,Monitoring and Reporting,SIE,St Public Notif requested,12-JAN-10,01-OCT-09,31-DEC-09,Water additive used to control microbes,Chloramine (as CI2) is a water additive used to control microbes particularly as a residual disinfectant in distribution system pipes. It is formed when ammonia is added to water containing free chlorine. Monochloramine is one form of chloramines commonly used for disinfection by municipal water systems. Other chloramines (di- and tri-) are not intentionally used to disinfect drinking water and are generally not formed during the drinking water disinfection process.,Eye/nose irritation; stomach discomfort anemia
